lexical_unit,pos,gloss,variant,audio_file,example_sentence,translation
winygaman,Adjective,"bad-tasting, undeveloped, scrawny",,,,
birrg,Coverb,"take away from",,birrg_sentence_yiwarli-wa-birrg-gernerri.wav,Yiwarli-wa birrg gernerri.,He took it out of his hand.
yidugal,Noun,son-in-law,,,yidugal nga-gin waduwadu,I call son-in-law `waduwadu'
yinabam-gujban,Noun,who shows up for cooked food,,,,
bamberlbamberl,Coverb,"[Inclusive] layers,",,,Yaningbarra aeroplane nyangandi yirrugu-wunya bamberlbamberl,Then the airplane came in layers (in relation) to us.
yuju-,Verb,"sit, stay, be [Inclusive] a place, [verbal inflection]",,,,
yanymirra,Noun,subsection term,,,,
yang,Coverb,"tell, inform",yangma,,Nganjagi lurrbu yang nga-bundi marluga yimarnayn ngunung,I went home and told my husband.
jabanmanggin,Noun,jabanmanggin,,,Micky Bennet yingyi gunga,Micky's Bennet's name
warlad,Coverb,"be sick",,warlad_sentence_warlad-yawud-jinga-mernde-yi-testim-yayingunburr-yana.wav,"Warlad yawud-jingin.ga, mernde-yi testim yayin.gunburr-yana.","When they are sick, whitefellas may test us."
bornborn,Coverb,"to bathe",,,bornborn wurr-marnburriya,They bathed him.
garrardada,Noun,chest-brace,,,,
yarninggi,Noun,"pubic apron (for man and woman)",,,,
yana,Verb,"say, do",,,Wonggo yanima-garra yini-yana nganu,You can't talk like that to me.
jamjajama,Coverb,"slurp",,,"jamjajama ya-ngun layin,",He slurps eating meat.
gumurlurlun,Noun,"insect (like cockroach)",,,,
wajiwaji,Noun,wrong marriage,,,Yawe wajiwaji ngagurlang,"yes, grannies (sleeping) together is wajiwaji"
gle,Adjective,rotten; severe,,,Yibiwi yirrugu bundi gila yigle,Our father beat him to a pulp. 180
dijbi,Adverb,"once, one time, one day",,,dijbi jingindiya wirriggayla dun wurr-wudbarriya na,"It sat for a day, the next day they tipped it out."
nyamanya,Noun,west,,,Nyanmanya-wa wudjangandiya showtime,They came from the west at showtime.
gorndojba,Coverb,hunched,,,gorndojba ya-yu banggin,His back is hunched
ngayungayug,Noun,small rainbow (serpent) under water,,,"ngayungayug linin gorrondolmi wiya-ya ya-yu, bulun duj ya-nyangan, wujirrma ya-nyangan.ga ngayungayug","ngayungayug is a snake, rainbow, in the water, wind comes strong"
jungang,Adjective,"ripe, cooked",,,yi-jungang layin,cooked meat
jongma-,Verb,"to kiss",,jongma_sentence_yiguyu-gunga-jongmarri-wurren.wav,Yiguyu gunga jongmarri wurren.,The child kissed his mother.
ngabulu,Noun,"milk, breast",,ngabulu_sentence_ngani-won-ngabulu.wav,Ngani-won ngabulu.,Give me milk.
magurrajban,Noun,name,,,,
yingawuyu,Noun,wife,,yingawuyu_sentence_dana-wan-ledba-na-yingawuyu-yinggi.wav,Dana-wan ledba na yingawuyu yinggi.,Look at your wife here.
jarrgjarrgin,Noun,wild onion,,,,
gilirringa-ngengen,Noun,yellow,,,,
bulburuwuru,Adjective,dirty,,,,
garlawarra,Noun,spinifex pigeon,,,,
ngarl,Coverb,"howl, bark",,ngarlma.wav,Minini-mulu-yi wu-dagbarlarri ngarlngarlma,The dogs were holding them barking.
birrij,Coverb,"knead",birrijba; birrijbirrij,,wurr-mendiya benegin na  wurr-mendiya birrijbirrij nungguru-warra,They got the wax and they kneaded it with their hands.
numnuma,Coverb,"beat heart, also fig. `hurry'",,numnuma_sentence_numnuma-ya-jingin.wav,"Numnuma ya-jingin yidumul lurruja, gajigaji-wunba","His heart is beating fast, from walking."
garnbayn,Noun,`cabbage palm',,,garnbayn-ya,"Palm Creek [on the Flora, tall palms there]"
dibug,Coverb,"poke",dibugba,dibug_sentence_nanba-wan-dibugdibug-wurr-bundiya.wav,Nanba-wan dibugdibug wurr-bundiya.,Then they poked it.
yibiwi,Noun,father,biwu-rlang dy.,yibiwi.wav,,
yarralma-,Verb,"stand up, rise up",,,,
guduru,Noun,"nullanulla, fighting stick",,,Ngang-buyan yinggi guduru-warra.,I'll hit you with a nullanulla.
wele,Noun,strap,,,,
lerrulerru,Coverb,"to fall noisily, crash down",,638495242073859632A LexExampleSentence.wav,,It crashed down.
yalug,Coverb,"be active, move about",,,Yalugyalug ya-yana.,"He moves around, he's active."
dagardaga,Noun,finger-talk,,,,
gewu-,Verb,"to shoo, chase away",,,"ya lurrbu, ya dawurlan yayiyin","Go back, go that way, bla go."
beyej,Coverb,"hunch over",beyejba,,,
yijilg,Noun,"drizzle, early rain",,yijilg.wav,Yijilg Nyinyiwa ye-wen,"Early wet season, it rains a little."
burruga-wunba,Adverb,"the time, from long ago",,,,
julugjuluyin,Adjective,"hillside, (along the) hillside",,,,
dul,Coverb,"lie down",,dulma_sentence_murag-ja-yayu-dulma.wav,Murag-ja yayu dulma.,He lies down in the shade.
dimana,Noun,horse,,,,
jomarna-,Verb,"to finish up',,jomarna_sentence_layin-wudjomarnarri.wav,Layin wudjomarnarri.,They finished the meat.
yibi,Adjective,alive,,yibi.wav,"Nga-jingin.ga yibi, ledba ledba.","While I am alive, I look."
legegumin,Adverb,"sonce, once [Inclusive] a while, once upon a time",,638495228757599203A LexExampleSentence.wav,,sometimes they come from south
ngaw,Coverb,"eat",,,bega ngaw ya-ngun ngorrmi-wunba,He takes tobacco ground      [put in mouth]
nayin,Adjective,"naked, with no kids",,,"yanjigbe yinayin, dubuluj wagbawun, wurre-wagbawun","She'll go `free', no dilly bag, no children."
yiwangguwala,Noun,placename,,,,
bordordob,Coverb,gallop,,,,
gogo:::,Interjection,good job,,,,
ngarrab,Coverb,"to be hot, to have a temperature",ngarraba,ngarraba.wav,Yani yanggunburr-men ngarraba yayu.,"And they take their temperature like that, he's hot."
bondol,Noun,venemous water snake,,,,
madin,Noun,language,,madin_sentence_ngorlogba-wu-ngunung-madin-gu.wav,ngorlogba-wu ngunung madin-gu,to talk language to me
nabida,Noun,skin term,,,Mightbe wurr-yanarri doit nan-guya Nabida-warrma nawurla,Maybe nabida and nawurla `did it' [used sorcery].
dulyiyi,Coverb,"settle down",,,Minyardin-wan dulyiyi yanggiya,when the charcoal settled
murndurd,Coverb,"surprise, startle",,638546261064880829A LexExampleSentence.wav,murndurd ngan-gindi mugurn-gunba gud nga-gajurri,"He surprised me, I got up from sleep"
nyangarrung,Noun,"pumpkin, squash",,,,
yudba,Coverb,"claim as one's own",,,"yud ya-wudba nana nganinggin wonggo yinggawun, yud ya-wudba, yawurr-men menyin., gala ngani-bun","He claims it, that's mine, they fight, you try hit me."
nan-mulu,Demonstrative,those,,nan-mulu.wav,,
ngayi-,PROPRE,"you and I",,,,
wuduwunjug,Adjective,little tiny one,,,,
dujud,Coverb,"take off, leave rapidly",,,gorrondolmi yilamagan dujud wurr-mendi,Maybe they touched? a rainbow.
duj,Coverb,whirlywhirly,,,duj ya-nyangan bulun,Whirlywhirly wind come on
bidijbidij,Coverb,"twist (as string)",,,,
gurlba,Coverb,be swollen,,,gurlba nga-jingindi Ngabulu-wan nyangandi wudugurlaman,"I swelled up, when my breasts grew a little."
mirlirl,Coverb,"to rise, of sun",mirlirlma,638545451559225696A LexExampleSentence.wav,mirlirl ya-nyangan marninggani,That sun comes up.
mulu,Plural,Coll,,,,
wujarranggun,Noun,"pinky finger",,wujarranggun.wav,,
jayuga,Noun,short horned grasshopper,,,,
judja,Noun,water goanna,,,ngamandagan judja wayana wurr-mendiya wurr-bundiya wiya-weng,"They got water goanna and all, they killed it in the water."
dang-mulu,Demonstrative,[Plural] those,,,,
megbe-,Verb,"break, snap",,,,
dayn,Coverb,cut,,,,
warrang-gujban,Noun,"singer",,warranggujban.wav,warranggujban wangga yawurr-ngen,"Singer, they sing wangga"
buyu-wujban,Noun,fighter,,buyuwujban.wav,"buyuwujban, wunggun-bundiya","He (was a) fighter, he belted them."
Liwaja,Noun,place,,,,
digirrija,Noun,willy wagtail,,,,
budurr,Coverb,"be furious, angry",,,Ngamanda-warang budurr ya-yana?,What for is he getting furious?
yolodba,Noun,little creek,,,,
ngamanda-wu,Interrogative,what for? why?,,,,
ngurrngma,Coverb,"growl at",,,minini ngurrngma ya-jingin menyin-gu,The dog is growing in anger
munba,Noun,"sorcery object, poison, munba-warang sorcerer, [person]",,munba_sentence_munba-warang-yawudjangan-borlgob-borlgob.wav,Munba-warang yawudjangan borlgob borlgob.,They are sneaking up with poison.
lilb,Coverb,"dry up",lilgba,638495246907913718A LexExampleSentence.wav,Led yi-dan wiyan yondorr-ya lilb yanja,We see the water evaporates in the road.
wuwalu,Noun,pinky finger,,,,
murruna,Noun,"lizard, sand goanna",,638546269267320535A LexExampleSentence.wav,murruna ya-jingin.ga wumunburra-ya,Sand goanna sits in the rock.
jub,Coverb,"deaf",juba,jub_sentence_jub-ya-jingin-yigulan.wav,yi-meme jub ya-jingin yigulan.,He is deaf on the right side.
budurrma-,Verb,"get furious",,,nga-budurrmarri nganjigbe mejern-garang na,"I've gotten angry, I'll have to go in bad humour."
yinginirra,Noun,paternal dreaming,,,,
wangi,Conjunction,"but, only, just that",,wangi_sentence_wangi-ngang-bulama.wav,Wangi ngang-bulama.,I'm just teasing you.
jenmayi-,Verb,"be sick",,,"jenmayirri jingindiya dulma, wurrangiya gunga ngamanda-warang, warlad nga-jingin, gurang nu-me ngunung","He, he was lying down."
jarn,Coverb,"take back, recover, take some of, separate, split up",,638494364059837473A LexExampleSentence.wav,"jarn ye-meyen yanja gunya jurlngurra, ya dawurlan ngayugu nganja damirlan","He recovers it, goes from him, go that way, I go this way"
gujiga,Noun,song series,,,,
wudurrudban,Adjective,"round stone, see also durrudban",,wudurrudban.wav,"Wudurrudban wumunburra wurr-mendiya, jabalawarna-wan wurr-gindiya.","They got the round stone, and put it on the flat (grinding) stone."
gadijbal,Noun,"kind of bandicoot, id.*",,,,
gunngu-,Verb,"drown",,,,
yumbarn,Noun,"penis",,,,
nganjagan,Verb,I shall go,,,,
yi-warna,Adjective,"other, different",,,,
bambaya,Noun,"row, loud argument",,,,
bogogo,Coverb,go foraging about,,bogogo_sentence_bogogo-nganjigbe-damirlan.wav,Bogogo nganjigbe damirlan.,I'll go walkabout this way.
ngay,Coverb,"seep out, trickle out, wet me-yi-; with me-, to drizzle, make trickle",,,ngay wurr-meyirriya nan-beng mulurru,The old ladies urinated there.
bilygbilygba,Coverb,"fly away",,,wuden-garang bilygbilygba yanja,The plane flies away.
ngurlan,Noun,"single men's (camp)",,,yingurlanmulu yawudjingin,All the single men are camping
nu-,PROPRE,"2nd plural",,,,
wujugwujug,Coverb,"shake (tree, branch)",wujugwujugba,,wujugwujug wurr-mendiya gulid,They shook the plum tree.
junbung(ma),Coverb,"pound; steam, give off steam",junbungma,junbungma_sentence_junbungma-ya-jingin.wav,"yilamagan wiya wagbawun, junbungma ya-jingin.","Maybe there's no water, it's smoking came up."
buga,Adjective,rotten,,buga.wav,"Mogba yayu, buga.","It's smelly, rotten."
barr,Coverb,"slap",,,"Barr ya-bun, wonggo mendi go wiyan","He slaps him, he didn't get water for him."
yinyang,Pronoun,[2nd Singular],,,,
wilid,Noun,"firestick tree",,,wilid ya-ngun jigjig.,Birds eat wilid.
wunagdala,Noun,knuckles,,wunagdala.wav,,
guyurlang,Noun,"mother and child, dyadic",,,guyurlang wurranggi-wuya,mother and child went
waringma-wujban,Noun,one who looks sideways at,,,,
derrma,Coverb,"teach, show",,,derrma yayi-bundi,He may teach him.
jardijba,Coverb,"build, usually of wurly, shade",,,"bidirrigba bundiya yarlarrg muragin-ya, yum-barra",
garlinda,Noun,"widower",,garlinda.wav,,
badbad,Coverb,"cover up",,badbad_sentence_gungarrma-badbad-badbad-wurr-buyirriya-ngamanda-warra.wav,Gun.garrma badbad badbad wurr-buyirriya? Ngamanda-warra?,How did they cover up? With what?
merlmerlma,Coverb,grasp,,638545411103755771A LexExampleSentence.wav,merlmerlma wurr-mendiya yumin yijarlo yumin linin-garang wurr-mendiya,"They grasped the tree, some they grasped that had snakes in them."
nganju,Noun,sinew,,nganju_sentence_yawe-durdba-ye-men-nganju-yidurrudba-yi.wav,"Yawe, durdba ye-men nganju, yidurrudba-yi.","Yes, it holds the sinew, the round one (patella)."
bogbog,Coverb,"be grey-haired",,,bogbog-mala ya-yu,He is grey-haired.
gelerrnga,Noun,for fish poison,,,"wurr-gindiyaa wurr-wajarriya dijbi wurranggiya wurr-mendiyaw dalgan-bi garrb garrb digirrijbari, ngewba ya-yu","They put it and left it for a day, they went and got big amounts by day, they had died, they are gasping [re fish poison]"
winbadba,Coverb,"hit, stroke with a branch, whisk, swipe",,,yarlarrg-barra winbadba bu,Whisk it with a branch.
yingawa,Noun,"woman's child, man's child",,yingawa.wav,Yingawa-ngunung nan-bi yayu.,My child is there.
bod,Coverb,"visit, look at/[Inclusive], check up on",bodba,bodba.wav,Wudjangandiya bodba dan.garr.,They came to this country.
wid,Coverb,"carry.on.shoulder, ga-",widba,,Wid wurr-gandiya yinebel-ya laglan,They carried their things [swags] on their shoulders.
gulug,Coverb,"to have eyes shut",,gulug_sentence_yijarlo-warra-yawudjingin-mugurn-wagbawun-yilamagan-gulug-yawudjin-yimum-gulug-yawurrya-yimum.wav,Yijarlo-warra yawudjingin mugurn wagbawun yilamagan gulug yawudjingin yimum gulug yawurrya yimum.,"Sometimes they are sleepless, and they are shut-eyed."
Gubungga,Noun,"Gubungga, personal name",,,,
biyimarla-,Verb,"inflate",,,,
badbad-ngana,Noun,blanket,,,badbad yawurr-gin badbad-ngana-warra,They cover up with blankets
yarirra,Noun,smoke tree,,,,
--wa,Verb,"[Future], intention, futurity",-we following i or e in root;  be following nasals,,"Nga-ga-wa ngalinyje-we nganu buran nga-marnbu-wa, wurr-yanarriya","I'll carry it, I'll cut a boomerang for myself, I'll make it, they'd say."
mumbamiyn,Noun,left-hand kangaroo,,638547104473217862A LexExampleSentence.wav,,left-hand kangaroo crawl
barranggajin,Noun,"creaking noise, of tree",,,,
gengma-,Verb,"to fear",,,"ngawun-gengma yawudjingin.ga wiya-warang, menyin yawu-dayin-ga; nganbu-gejbarlan.ga","I am afraid of them sitting there with grog, they fight, they asking me"
yimurrum,Noun,graveyard,,yimurrum.wav,,
bindijin,Noun,"tree with rough bark",,,,
ngababiyn,Noun,"father's mother's mother",,,,
gegewu-,Verb,"to make stop, shoo away",,,"gegewurri girrb jingi, wonggo yini-lun lurleglurle","He stopped him from crying, you can't cry."
walanyma,Verb,"to peel, remove skin, open",,,"walanyma walanyma yawurr-ya walanja-wu lunggura","They go look around for goanna, blue tongue."
nyorn,Coverb,"to be deaf, not hear, ignore",,,"nyorn ya-jingin yigulan wagbawun, nanba-wan gud ya-gajun yawurr-gaygba ngawun wonggo yanggun-wojbarnan",
barnangga,Nourla,Noun,headdress for corroboree,,,
jala-,Verb,"to boomerang",,jala_sentence_jalarri-buran-barra.wav,Jalarri buran-barra.,He boomeranged him.
gorningmiyi-,Verb,"to vomit",,gorningmiyi_sentence_yawurr-gorningmiyin-yilamagan-walngin-weg-wurr-gindi.wav,Yawurr-gorningmiyin. Yilamagan walngin weg wurr-gindi.,They vomit. Maybe they swallowed a fly.
gajawma,Coverb,"start to walk, toddle",,,"gidalma yanja durd durd ye-men yumin, milirri.","He starts to walk (toddle), he grabs a stick."
nyarl,Coverb,put on fire,,,"nyerl gi yibumbu, yigelelen wiyan gi darib","Put it on the fire, the water is cold put it on the fire."
wonggo,Negative,"not, cannot, must not",,wonggo_sentence_wonggo-yinggiya-ya-gan-yijurn-dam-bari.wav,Wonggo yinggiya ya-gan yijurn dam-bari.,Nobody has a pierced nose today.
lilaj,Coverb,"to wade",,638495246667825005A LexExampleSentence.wav,wiya-ya wudu-ya lilaj lilaj ya-jingin yidodba-ya wiya-ya liwma yanja,"In a little water he wades, in deep water he swims."
bogo,Coverb,"lend",,,"Bogo ngang-won, gurru ngani-won lurrbu","I'll lend it to you, later you give it back to me."
yilurrgan,Noun,"constellation, group (of stars or other celestial bodies)",,,,
duba,Coverb,"sit",,duba_sentence_ya-warlarrgu-duba-jingi.wav,"Ya warlarrgu, duba jingi.","Go outside, sit down."
-giji,Adverb,"first",,,wiyan ngani-won giji,Give me water first.
gardirrg,Coverb,grind teeth,,,gardirrg ya-layin,he grinds his teeth
Jerren,Noun,"Jerren, placename",,,,
buwarraja,Noun,dreaming,,,Wumunburra gila giyirri nan-ya jidba gila yayu stand up  mebelyangman-malang Buwarraja,"It made itself rock and it stands upright there, red one, dreaming"
gagawli,Noun,long yam,,,wudjangandi gagawli-warr,they came to Gagawli  [also a placename]
ngarrajaj,Noun,nightjar,,638546331810574769A LexExampleSentence.wav,ngarrajaj jigjig,ngarrajaj bird
gundul,Coverb,"be sorry for",,,mundul mendi yilamagan gonjo-yi,"He put something over it, maybe dirt. [SW's substitution]"
nurrugunya,Pronoun,2nd plural [Pronoun] [Dissociative],,,,
Bornong,Noun,"Bornong, place-name near Flora River",,,,
wudu,Adjective,little,,,,
Fordinay,Noun,Army camp,,,,
warrgba,Coverb,"go anywhere, be promiscuous",,,mayin-gu gejgej-mala warrgba yanja,Him go everywhere asking.
duy,Coverb,"heap up",duyma,,,
mun,Coverb,"hide, conceal, (put) under, cover, crouch, look down",munma,,munma ya-jingin.,He's concealed.
jembere,Noun,Duck Creek,,,,
girlibi,Noun,wild banana,,,,
bulilin,Noun,blood,,bulilin.wav,marnal bulili-yi jubad ya-bun,Blood is closing off the ankle.
yawung-guya,Pronoun,1InDu,,,Yawungguya ngayi-jingin dana ngorlogba.,We two sit here talking.
gorrondolmi,Noun,rainbow serpent,,,gaju-rri go gorrondolmi guyamin,Two rainbows got up before him.
giwurrgba-wujban,Noun,"sulky one",,giwurrgba-wujban.wav,,
wubilang,Noun,grass type,,,,
neng,Coverb,"snap; hit la neck",,,winymarnang wurr-bundi neng,They killim la neck.
yiberr,Noun,"leg, long part of leg",,,,
jorrerrngman,Noun,kingfisher,,,,
wayida,Noun,"yam, hairy form",,,,
ngiwa,Adverb,"yesterday, another day (previously)",,ngiwa.wav,Ngiwa ngani-lawurri warrguj.,You came and picked me up yesterday.
paddock,Noun,Paddock,,,,
ngaringgirrma,Coverb,"circle, round shape",,638546327692814393A LexExampleSentence.wav,ngaringgirrma ya-yu,It's a round one
gabarru,Noun,fog,,gabarru.wav,,
madulgun,Noun,bladder ([Confirmatory]. dulgin),,,mabuga dulgin-gu,Bag for pisspiss.
galalama,Coverb,"stand head up (of goanna)",,,,
yinimgajamayawun,Adjective,"last-born, runt",,,yijuda yinimgajamayawun born wendi,last born child
yinalman,Adjective,"quiet, tame",,,yinalman,
bajunggurr,Noun,bicycle,,,bajunggurr-warra nyangandi,He came on a bicycle.
ngiwanbi,Adjective,as for ngiwa,,,ngiwanbi warrguj ngani-mendi,yesterday you picked me up.
garndalwu,Noun,female plains kangaroo,,,,
yanga,Noun,"sickness, flu, stickbug",,,,
murrngmurrngma,Coverb,"feel pain",,,murrngmurrngma ya-jingin mejern yilamagan ngundi ngawurnen layin,Him got sore binjy
galumanggan,Noun,nail-tailed wallaby,,,,
yurrwarla,Noun,subsection,,,,
bilirrgba-,Verb,"to clean, sweep",,bilirrgba.wav,"Gonjon bilirrgba me ngamandaga-warra, yarlarrg-barra.","You sweep the ground with what, with leaves/branches."
balyarrma,Coverb,"rub, smear",,,liwin-yi wunggunburr-bundiya balyarrma,They rubbed them with red ochre.
dulma-wujban,Noun,one who lies down [Allative] the time,,,,
jordjord-gujban,Noun,"crazy, mad person",,,,
dan-garang,Adjective,"menstruating, bleeding",,,yanarri ngunung wonggo dan–garang yininyja yimarnayn-garr yinggi,"She said to me, you can't go to your husband while bleeding."
goyo,Interjection,look out!,,,Judjud wurranggiya wolo-wa wurr-bundiya garnin-barra goyo! dibad nyangandiya wolo-wa,"They went down and hit it from the grass with a spear, Look out! it jumped out of the grass"
ya-,Verb,"to go (irregular)",,,,
jun.gurra,Adverb,"face/sit/go the other way",,638341505920161272A LexExampleSentence.wav,jun.gurra yanja,He goes straight ahead (does not turn back).
bu,Verb,"hit, strike",,,,
jamurru,Noun,"green plum, said to be syn. with gulid",,,,
gurndirndin,Noun,"ibis",,,,
dag,Coverb,"to burn, singe",dagdag,,dagdag yawurr-bun,"They burn it [singe, heat] with a branch."
yijawunbug,Noun,whiskers,,,,
borle(ma),Adverb,"other side, across",,,wonggo yayiwurr-ya borlema warrija-wu,They don't cross over on account of the crocodiles.
